Date,Close,Daily Return,Volatility (%),Put-Call Ratio,PCR Sentiment,Consecutive Signal,Signal Streak,Initial Weight,Adjusted Weight,Normalized Weight,Portfolio Return
2023-03-29,184.36160278320312,1.1602220676457664,26.62355005645356,0.21,Bullish,33,1,0.2,0.25,0.006075334143377886,0.007048736741468812
2023-03-30,185.6794586181641,0.7148212073805116,26.62355005645356,0.86,Neutral,34,1,0.2,0.2,0.004860267314702309,0.0034742221500875413
2023-03-31,188.11846923828125,1.3135597433708843,26.62355005645356,3.63,Bearish,35,1,0.2,0.15000000000000002,0.0036452004860267322,0.0047881886149606975
2023-04-03,187.3710174560547,-0.3973303553091334,26.62355005645356,0.94,Neutral,36,1,0.2,0.2,0.004860267314702309,-0.001931131739048036
2023-04-04,188.10861206054688,0.3936545867693652,26.62355005645356,2.16,Bearish,37,1,0.2,0.15000000000000002,0.0036452004860267322,0.0014349498910183425
2023-04-05,189.07244873046875,0.5123830638926963,26.62355005645356,0.56,Bullish,38,1,0.2,0.25,0.006075334143377886,0.0031128983225558707
2023-04-06,189.90838623046875,0.4421254950749853,26.62355005645356,0.13,Bullish,38,2,0.2,0.30000000000000004,0.0072904009720534645,0.003223272139064292
2023-04-10,189.0625762939453,-0.4453778757811055,26.62355005645356,0.0,Bullish,38,3,0.2,0.35000000000000003,0.008505467800729041,-0.0037881471816132916
2023-04-11,192.1310272216797,1.6229816539491626,26.62355005645356,1.26,Bearish,39,1,0.2,0.15000000000000002,0.0036452004860267322,0.005916093513787957
2023-04-12,190.3115997314453,-0.9469722389685242,26.62355005645356,3.22,Bearish,39,2,0.2,0.1,0.0024301336573511545,-0.0023012691104945912
2023-04-13,191.8949737548828,0.83199028628409,26.62355005645356,1.51,Bearish,39,3,0.2,0.04999999999999999,0.0012150668286755768,0.0010109237986440946
2023-04-14,183.44696044921875,-4.40241510257332,26.62355005645356,0.07,Bullish,40,1,0.2,0.25,0.006075334143377886,-0.026746142785986148
2023-04-17,185.0303497314453,0.8631319256253711,26.62355005645356,3.61,Bearish,41,1,0.2,0.15000000000000002,0.0036452004860267322,0.003146288914794792
2023-04-18,180.73257446289065,-2.3227407151272805,26.62355005645356,1.71,Bearish,41,2,0.2,0.1,0.0024301336573511545,-0.0056445703891306945
2023-04-19,183.6633453369141,1.6216063334090425,26.62355005645356,1.06,Neutral,42,1,0.2,0.2,0.004860267314702309,0.007881440259582224
2023-04-20,182.3749847412109,-0.7014794342005137,26.62355005645356,7.19,Bearish,43,1,0.2,0.15000000000000002,0.0036452004860267322,-0.0025570331744854697
2023-04-21,183.97805786132807,0.8789983573635141,26.62355005645356,6.78,Bearish,43,2,0.2,0.1,0.0024301336573511545,0.0021360834929854537
2023-04-24,184.40093994140625,0.2298546277713642,26.62355005645356,0.46,Bullish,44,1,0.2,0.25,0.006075334143377886,0.0013964436681127837
2023-04-25,178.83447265625,-3.018676199223824,26.62355005645356,0.41,Bullish,44,2,0.2,0.30000000000000004,0.0072904009720534645,-0.022007359897136022
2023-04-26,179.82778930664062,0.5554391363347122,26.62355005645356,2.29,Bearish,45,1,0.2,0.15000000000000002,0.0036452004860267322,0.0020246870097255613
2023-04-27,182.77821350097656,1.6406942473751407,26.62355005645356,3.92,Bearish,45,2,0.2,0.1,0.0024301336573511545,0.00398710631196875
2023-04-28,185.43359375,1.4527881623097594,26.62355005645356,1.66,Bearish,45,3,0.2,0.04999999999999999,0.0012150668286755768,0.0017652347051151384
2023-05-01,188.93472290039065,1.888077062838356,26.62355005645356,0.0,Bullish,46,1,0.2,0.25,0.006075334143377886,0.011470699045190498
2023-05-02,186.9087829589844,-1.0722962461878205,26.62355005645356,0.47,Bullish,46,2,0.2,0.30000000000000004,0.0072904009720534645,-0.007817469595536967
2023-05-03,184.57794189453125,-1.2470473712113406,26.62355005645356,2.82,Bearish,47,1,0.2,0.15000000000000002,0.0036452004860267322,-0.004545737683637937
2023-05-04,185.7581329345703,0.6393998263960698,26.62355005645356,0.13,Bullish,48,1,0.2,0.25,0.006075334143377886,0.003884567596573936
2023-05-05,186.0531616210937,0.1588241019989889,26.62355005645356,2.74,Bearish,49,1,0.2,0.15000000000000002,0.0036452004860267322,0.0005789456937994736
2023-05-08,185.85647583007807,-0.1057148340301683,26.62355005645356,3.35,Bearish,49,2,0.2,0.1,0.0024301336573511545,-0.0002569011762580032
2023-05-09,184.0272216796875,-0.9842294395289386,26.62355005645356,0.86,Neutral,50,1,0.2,0.2,0.004860267314702309,-0.004783618175110273
2023-05-10,186.2596893310547,1.2131181631666266,26.62355005645356,7.89,Bearish,51,1,0.2,0.15000000000000002,0.0036452004860267322,0.004422058917982844
2023-05-11,204.5620880126953,9.826280043402337,26.62355005645356,1.65,Bearish,51,2,0.2,0.1,0.0024301336573511545,0.02387917386002998
2023-05-12,207.3650054931641,1.370203788834412,26.62355005645356,1.89,Bearish,51,3,0.2,0.04999999999999999,0.0012150668286755768,0.0016648891723382887
2023-05-15,207.34532165527344,-0.009492362437824,26.62355005645356,3.7,Bearish,51,4,0.2,0.04999999999999999,0.0012150668286755768,-1.1533854723965976e-05
2023-05-16,204.4932403564453,-1.375522377866767,26.62355005645356,0.89,Neutral,52,1,0.2,0.2,0.004860267314702309,-0.006685406453787446
2023-05-17,202.41815185546875,-1.014746745349404,26.62355005645356,1.34,Bearish,53,1,0.2,0.15000000000000002,0.0036452004860267322,-0.003698955329341692
2023-05-18,203.35243225097656,0.4615595918368687,26.62355005645356,0.0,Bullish,54,1,0.2,0.25,0.006075334143377886,0.0028041287474900893
2023-05-19,202.3001251220703,-0.517479489799022,26.62355005645356,0.62,Bullish,54,2,0.2,0.30000000000000004,0.0072904009720534645,-0.003772632975448521
2023-05-22,203.4999542236328,0.5930936032978229,26.62355005645356,2.47,Bearish,55,1,0.2,0.15000000000000002,0.0036452004860267322,0.00216194509100057
2023-05-23,198.5432586669922,-2.4357231801602985,26.62355005645356,4.16,Bearish,55,2,0.2,0.1,0.0024301336573511545,-0.005919132880097932
2023-05-24,197.5204620361328,-0.5151505207108831,26.62355005645356,4.69,Bearish,55,3,0.2,0.04999999999999999,0.0012150668286755768,-0.0006259423094907448
2023-05-25,197.88433837890625,0.1842220998383714,26.62355005645356,0.88,Neutral,56,1,0.2,0.2,0.004860267314702309,0.000895368650490262
2023-05-26,197.1270751953125,-0.3826796955218148,26.62355005645356,0.24,Bullish,57,1,0.2,0.25,0.006075334143377886,-0.0023249070201811347
2023-05-30,196.25177001953125,-0.4440309251857011,26.62355005645356,1.05,Neutral,58,1,0.2,0.2,0.004860267314702309,-0.002158108992397089
2023-05-31,196.6648406982422,0.2104799761397435,26.62355005645356,1.31,Bearish,59,1,0.2,0.15000000000000002,0.0036452004860267322,0.0007672417113234881
2023-06-01,199.07432556152344,1.2251731701134585,26.62355005645356,2.87,Bearish,59,2,0.2,0.1,0.0024301336573511545,0.002977334556776327
2023-06-02,202.07391357421875,1.5067678889452152,26.62355005645356,1.78,Bearish,59,3,0.2,0.04999999999999999,0.0012150668286755768,0.0018308236803708563
2023-06-05,202.64431762695312,0.2822749570418281,26.62355005645356,1.17,Neutral,60,1,0.2,0.2,0.004860267314702309,0.0013719317474693955
2023-06-06,203.8736572265625,0.6066489374118245,26.62355005645356,0.53,Bullish,61,1,0.2,0.25,0.006075334143377886,0.003685595002501971
2023-06-07,204.4932403564453,0.3039054374711414,26.62355005645356,1.71,Bearish,62,1,0.2,0.15000000000000002,0.0036452004860267322,0.0011077962483759714
2023-06-08,202.8017120361328,-0.8271805548995426,26.62355005645356,1.02,Neutral,63,1,0.2,0.2,0.004860267314702309,-0.004020318614335566
2023-06-09,203.5589599609375,0.3733932604423895,26.62355005645356,1.69,Bearish,64,1,0.2,0.15000000000000002,0.0036452004860267322,0.0013610932944437045
2023-06-12,204.4539031982422,0.4396481675267072,26.62355005645356,0.8,Neutral,65,1,0.2,0.2,0.004860267314702309,0.0021368076185988203
2023-06-13,204.62147521972656,0.0819607837576397,26.62355005645356,1.9,Bearish,66,1,0.2,0.15000000000000002,0.0036452004860267322,0.00029876348878848014
2023-06-14,210.0724029541016,2.663907944423572,26.62355005645356,1.29,Bearish,66,2,0.2,0.1,0.0024301336573511545,0.006473652355828851
2023-06-15,210.4765472412109,0.1923833313782097,26.62355005645356,0.85,Neutral,67,1,0.2,0.2,0.004860267314702309,0.0009350344173910558
2023-06-16,210.555404663086,0.0374661324069602,26.62355005645356,0.8,Neutral,67,2,0.2,0.2,0.004860267314702309,0.0001820954187458576
2023-06-20,210.53570556640625,-0.009355778214859,26.62355005645356,1.29,Bearish,68,1,0.2,0.15000000000000002,0.0036452004860267322,-3.4103687295962346e-05
2023-06-21,209.0374298095703,-0.7116492439157129,26.62355005645356,1.49,Bearish,68,2,0.2,0.1,0.0024301336573511545,-0.0017294027798680754
2023-06-22,209.1951446533203,0.0754481357208014,26.62355005645356,3.32,Bearish,68,3,0.2,0.04999999999999999,0.0012150668286755768,9.167452699975867e-05
2023-06-23,207.79544067382807,-0.6690900889749551,26.62355005645356,1.14,Neutral,69,1,0.2,0.2,0.004860267314702309,-0.003251956690036234
2023-06-26,208.9684295654297,0.5644921215777643,26.62355005645356,1.43,Bearish,70,1,0.2,0.15000000000000002,0.0036452004860267322,0.0020576869559335276
2023-06-27,213.7194976806641,2.2735817678845915,26.62355005645356,2.8,Bearish,70,2,0.2,0.1,0.0024301336573511545,0.005525107576876286
2023-06-28,213.7884826660156,0.0322782834978552,26.62355005645356,3.5,Bearish,70,3,0.2,0.04999999999999999,0.0012150668286755768,3.922027156483012e-05
2023-06-29,217.8298797607422,1.8903717563869549,26.62355005645356,1.88,Bearish,70,4,0.2,0.04999999999999999,0.0012150668286755768,0.0022969280150509776
2023-06-30,221.76280212402344,1.8055017831351,26.62355005645356,2.05,Bearish,70,5,0.2,0.04999999999999999,0.0012150668286755768,0.002193805325802065
2023-07-03,216.00631713867188,-2.5957847439771142,26.62355005645356,1.04,Neutral,71,1,0.2,0.2,0.004860267314702309,-0.01261620774715487
2023-07-05,215.7894744873047,-0.1003871804489797,26.62355005645356,3.12,Bearish,72,1,0.2,0.15000000000000002,0.0036452004860267322,-0.000365931398963474
2023-07-06,215.326171875,-0.2147012097811762,26.62355005645356,0.82,Neutral,73,1,0.2,0.2,0.004860267314702309,-0.0010435052723264944
2023-07-07,214.7347717285156,-0.2746531651654949,26.62355005645356,1.04,Neutral,73,2,0.2,0.2,0.004860267314702309,-0.0013348878015333895
2023-07-10,219.86041259765625,2.386963614640325,26.62355005645356,0.21,Bullish,74,1,0.2,0.25,0.006075334143377886,0.014501601547025062
2023-07-11,220.7968292236328,0.4259141584029402,26.62355005645356,0.51,Bullish,74,2,0.2,0.30000000000000004,0.0072904009720534645,0.003105084994432129
2023-07-12,223.4582061767578,1.205351074326089,26.62355005645356,0.4,Bullish,74,3,0.2,0.35000000000000003,0.008505467800729041,0.010252074751254706
2023-07-13,225.4690399169922,0.8998701701936174,26.62355005645356,1.54,Bearish,75,1,0.2,0.15000000000000002,0.0036452004860267322,0.0032802071817507323
2023-07-14,225.80419921875,0.1486498110255807,26.62355005645356,0.56,Bullish,76,1,0.2,0.25,0.006075334143377886,0.000903097272330381
2023-07-17,225.0846405029297,-0.3186648956529092,26.62355005645356,5.06,Bearish,77,1,0.2,0.15000000000000002,0.0036452004860267322,-0.0011615974325136424
2023-07-18,223.7046356201172,-0.6131048656758731,26.62355005645356,0.93,Neutral,78,1,0.2,0.2,0.004860267314702309,-0.0029798535391293954
2023-07-19,224.18765258789065,0.2159172814789833,26.62355005645356,1.1,Neutral,78,2,0.2,0.2,0.004860267314702309,0.0010494157058516806
2023-07-20,226.85888671875,1.1915170617222692,26.62355005645356,1.23,Bearish,79,1,0.2,0.15000000000000002,0.0036452004860267322,0.00434331857249916
2023-07-21,228.7711334228516,0.8429234277572251,26.62355005645356,0.86,Neutral,80,1,0.2,0.2,0.004860267314702309,0.004096833184725274
2023-07-24,228.84999084472656,0.0344700053259039,26.62355005645356,3.5,Bearish,81,1,0.2,0.15000000000000002,0.0036452004860267322,0.00012565008016732893
2023-07-25,229.68785095214844,0.3661176058295634,26.62355005645356,1.03,Neutral,82,1,0.2,0.2,0.004860267314702309,0.0017794294329504905
2023-07-26,228.54440307617188,-0.497826886026631,26.62355005645356,1.52,Bearish,83,1,0.2,0.15000000000000002,0.0036452004860267322,-0.0018146788069014499
2023-07-27,226.49417114257807,-0.8970825388843306,26.62355005645356,0.57,Bullish,84,1,0.2,0.25,0.006075334143377886,-0.005450076177912094
2023-07-28,226.7504425048828,0.1131470010958368,26.62355005645356,0.3,Bullish,84,2,0.2,0.30000000000000004,0.0072904009720534645,0.0008248870067740229
2023-07-31,222.3246612548828,-1.9518291568073496,26.62355005645356,1.32,Bearish,85,1,0.2,0.15000000000000002,0.0036452004860267322,-0.007114808591035297
2023-08-01,220.80670166015625,-0.6827670786311524,26.62355005645356,0.0,Bullish,86,1,0.2,0.25,0.006075334143377886,-0.004148038144782214
2023-08-02,224.54249572753903,1.6918843673198625,26.62355005645356,2.08,Bearish,87,1,0.2,0.15000000000000002,0.0036452004860267322,0.006167257718055393
2023-08-03,222.2753753662109,-1.009662048149251,26.62355005645356,1.28,Bearish,87,2,0.2,0.1,0.0024301336573511545,-0.002453613725757597
2023-08-04,222.778076171875,0.2261612672280311,26.62355005645356,0.77,Neutral,88,1,0.2,0.2,0.004860267314702309,0.001099204214960054
2023-08-07,222.9555053710937,0.0796439228974543,26.62355005645356,3.99,Bearish,89,1,0.2,0.15000000000000002,0.0036452004860267322,0.00029031806645487597
2023-08-08,222.01910400390625,-0.4199947274811322,26.62355005645356,0.89,Neutral,90,1,0.2,0.2,0.004860267314702309,-0.0020412866463238506
2023-08-09,223.724365234375,0.7680695938844684,26.62355005645356,1.91,Bearish,91,1,0.2,0.15000000000000002,0.0036452004860267322,0.002799767656930019
2023-08-10,223.98062133789065,0.1145409903150929,26.62355005645356,1.88,Bearish,91,2,0.2,0.1,0.0024301336573511545,0.0002783499157110399
2023-08-11,224.73963928222656,0.3388766134329479,26.62355005645356,1.31,Bearish,91,3,0.2,0.04999999999999999,0.0012150668286755768,0.0004117577319962914
2023-08-14,225.86334228515625,0.5000021387052911,26.62355005645356,1.97,Bearish,91,4,0.2,0.04999999999999999,0.0012150668286755768,0.0006075360130076439
2023-08-15,226.2181854248047,0.157105237201538,26.62355005645356,1.1,Neutral,92,1,0.2,0.2,0.004860267314702309,0.0007635734493391884
2023-08-16,224.02008056640625,-0.9716746928504992,26.62355005645356,1.0,Neutral,92,2,0.2,0.2,0.004860267314702309,-0.004722598750184687
2023-08-17,220.8461151123047,-1.4168218518967546,26.62355005645356,2.34,Bearish,93,1,0.2,0.15000000000000002,0.0036452004860267322,-0.005164599703147345
2023-08-18,220.668685913086,-0.0803406476625245,26.62355005645356,1.36,Bearish,93,2,0.2,0.1,0.0024301336573511545,-0.00019523851193809112
2023-08-21,219.57455444335932,-0.495825434043462,26.62355005645356,0.58,Bullish,94,1,0.2,0.25,0.006075334143377886,-0.0030123051885994046
2023-08-22,220.1363983154297,0.2558784069923936,26.62355005645356,0.53,Bullish,94,2,0.2,0.30000000000000004,0.0072904009720534645,0.0018654561870648384
2023-08-23,222.29507446289065,0.980608460926935,26.62355005645356,1.03,Neutral,95,1,0.2,0.2,0.004860267314702309,0.004766019251163718
2023-08-24,221.35867309570312,-0.421242517158793,26.62355005645356,1.52,Bearish,96,1,0.2,0.15000000000000002,0.0036452004860267322,-0.0015355134282823565
2023-08-25,223.1625061035156,0.8148914983026723,26.62355005645356,4.15,Bearish,96,2,0.2,0.1,0.0024301336573511545,0.001980295257114635
2023-08-28,224.5720672607422,0.6316299193076524,26.62355005645356,1.25,Bearish,96,3,0.2,0.04999999999999999,0.0012150668286755768,0.0007674725629497598
2023-08-29,228.07130432128903,1.5581800101986951,26.62355005645356,0.81,Neutral,97,1,0.2,0.2,0.004860267314702309,0.007573171373991229
2023-08-30,228.68243408203125,0.2679555687905788,26.62355005645356,0.88,Neutral,97,2,0.2,0.2,0.004860267314702309,0.0013023356927853163
2023-08-31,226.306884765625,-1.0387983344423035,26.62355005645356,1.06,Neutral,97,3,0.2,0.2,0.004860267314702309,-0.005048837591457126
2023-09-01,227.56857299804688,0.5575120852945092,26.62355005645356,2.58,Bearish,98,1,0.2,0.15000000000000002,0.0036452004860267322,0.0020322433242813223
2023-09-05,220.93960571289065,-2.912953751840397,26.62355005645356,0.8,Neutral,99,1,0.2,0.2,0.004860267314702309,-0.014157733909309342
2023-09-06,221.0877990722656,0.0670741485651049,26.62355005645356,0.64,Bullish,100,1,0.2,0.25,0.006075334143377886,0.0004074978649155826
2023-09-07,221.74972534179688,0.2993952051216109,26.62355005645356,1.68,Bearish,101,1,0.2,0.15000000000000002,0.0036452004860267322,0.0010913555472233693
2023-09-08,220.06036376953125,-0.7618325432699913,26.62355005645356,1.29,Bearish,101,2,0.2,0.1,0.0024301336573511545,-0.0018513549046658357
2023-09-11,226.01754760742188,2.707068067982288,26.62355005645356,1.83,Bearish,101,3,0.2,0.04999999999999999,0.0012150668286755768,0.003289268612372159
2023-09-12,224.1207427978516,-0.8392290021945303,26.62355005645356,0.77,Neutral,102,1,0.2,0.2,0.004860267314702309,-0.004078877288916308
2023-09-13,227.6475982666016,1.5736408083972364,26.62355005645356,1.66,Bearish,103,1,0.2,0.15000000000000002,0.0036452004860267322,0.005736236239601106
2023-09-14,227.1240081787109,-0.2300002687827373,26.62355005645356,1.77,Bearish,103,2,0.2,0.1,0.0024301336573511545,-0.000558931394368742
2023-09-15,226.72886657714844,-0.1739761484182644,26.62355005645356,0.64,Bullish,104,1,0.2,0.25,0.006075334143377886,-0.0010569632346188603
2023-09-18,225.32598876953125,-0.618746888649857,26.62355005645356,2.85,Bearish,105,1,0.2,0.15000000000000002,0.0036452004860267322,-0.0022554564592339875
2023-09-19,224.11083984375,-0.5392848523230631,26.62355005645356,0.65,Bullish,106,1,0.2,0.25,0.006075334143377886,-0.0032763356763248065
2023-09-20,222.5499420166016,-0.6964847520256945,26.62355005645356,1.67,Bearish,107,1,0.2,0.15000000000000002,0.0036452004860267322,-0.0025388265565942695
2023-09-21,218.0054626464844,-2.042004293031085,26.62355005645356,1.49,Bearish,107,2,0.2,0.1,0.0024301336573511545,-0.0049623433609503895
2023-09-22,221.23599243164065,1.4818572644644368,26.62355005645356,1.81,Bearish,107,3,0.2,0.04999999999999999,0.0012150668286755768,0.0018005556068826688
